unicode_character__c,unicode_index__c,order__c
!,33.0,0.0
"""",34.0,1.0
#,35.0,2.0
$,36.0,3.0
%,37.0,4.0
&,38.0,5.0
',39.0,6.0
(,40.0,7.0
),41.0,8.0
*,42.0,9.0
+,43.0,10.0
",",44.0,11.0
-,45.0,12.0
.,46.0,13.0
/,47.0,14.0
0,48.0,15.0
1,49.0,16.0
2,50.0,17.0
3,51.0,18.0
4,52.0,19.0
5,53.0,20.0
6,54.0,21.0
7,55.0,22.0
8,56.0,23.0
9,57.0,24.0
:,58.0,25.0
;,59.0,26.0
<,60.0,27.0
=,61.0,28.0
>,62.0,29.0
?,63.0,30.0
@,64.0,31.0
A,65.0,32.0
B,66.0,33.0
C,67.0,34.0
D,68.0,35.0
E,69.0,36.0
F,70.0,37.0
G,71.0,38.0
H,72.0,39.0
I,73.0,40.0
ı,305.0,41.0
J,74.0,42.0
K,75.0,43.0
L,76.0,44.0
M,77.0,45.0
N,78.0,46.0
O,79.0,47.0
P,80.0,48.0
Q,81.0,49.0
R,82.0,50.0
S,83.0,51.0
T,84.0,52.0
U,85.0,53.0
V,86.0,54.0
W,87.0,55.0
X,88.0,56.0
Y,89.0,57.0
Z,90.0,58.0
[,91.0,59.0
\,92.0,60.0
],93.0,61.0
^,94.0,62.0
_,95.0,63.0
`,96.0,64.0
{,123.0,65.0
|,124.0,66.0
},125.0,67.0
~,126.0,68.0
¡,161.0,103.0
¢,162.0,104.0
£,163.0,105.0
¤,164.0,106.0
¥,165.0,107.0
¦,166.0,108.0
§,167.0,109.0
¨,168.0,110.0
©,169.0,111.0
«,171.0,112.0
¬,172.0,113.0
­,173.0,114.0
®,174.0,115.0
¯,175.0,116.0
°,176.0,117.0
±,177.0,118.0
¶,182.0,120.0
»,187.0,123.0
¼,188.0,124.0
½,189.0,125.0
¾,190.0,126.0
¿,191.0,127.0
À,192.0,128.0
Á,193.0,129.0
Â,194.0,130.0
Ã,195.0,131.0
Ä,196.0,132.0
Å,197.0,133.0
Æ,198.0,134.0
Ç,199.0,135.0
È,200.0,136.0
É,201.0,137.0
Ê,202.0,138.0
Ë,203.0,139.0
Ì,204.0,140.0
Í,205.0,141.0
Î,206.0,142.0
Ï,207.0,143.0
Ð,208.0,144.0
Ñ,209.0,145.0
Ò,210.0,146.0
Ó,211.0,147.0
Ô,212.0,148.0
Õ,213.0,149.0
Ö,214.0,150.0
×,215.0,151.0
Ø,216.0,152.0
Ù,217.0,153.0
Ú,218.0,154.0
Û,219.0,155.0
Ü,220.0,156.0
Ý,221.0,157.0
Þ,222.0,158.0
÷,247.0,160.0
Ā,256.0,161.0
Ă,258.0,162.0
Ą,260.0,163.0
Ć,262.0,164.0
Ĉ,264.0,165.0
Ċ,266.0,166.0
Č,268.0,167.0
Ď,270.0,168.0
Đ,272.0,169.0
Ē,274.0,170.0
Ĕ,276.0,171.0
Ė,278.0,172.0
Ę,280.0,173.0
Ě,282.0,174.0
Ĝ,284.0,175.0
Ğ,286.0,176.0
Ġ,288.0,177.0
Ģ,290.0,178.0
Ĥ,292.0,179.0
Ħ,294.0,180.0
Ĩ,296.0,181.0
Ī,298.0,182.0
Ĭ,300.0,183.0
Į,302.0,184.0
İ,304.0,185.0
Ĵ,308.0,187.0
Ķ,310.0,188.0
ĸ,312.0,189.0
Ĺ,313.0,190.0
Ļ,315.0,191.0
Ľ,317.0,192.0
Ŀ,319.0,193.0
Ł,321.0,194.0
Ń,323.0,195.0
Ņ,325.0,196.0
Ň,327.0,197.0
ŉ,329.0,198.0
Ŋ,330.0,199.0
Ō,332.0,200.0
Ŏ,334.0,201.0
Ő,336.0,202.0
Œ,338.0,203.0
Ŕ,340.0,204.0
Ŗ,342.0,205.0
Ś,346.0,207.0
Ŝ,348.0,208.0
Ş,350.0,209.0
Š,352.0,210.0
Ţ,354.0,211.0
Ť,356.0,212.0
Ŧ,358.0,213.0
Ũ,360.0,214.0
Ū,362.0,215.0
Ŭ,364.0,216.0
Ů,366.0,217.0
Ű,368.0,218.0
Ų,370.0,219.0
Ŵ,372.0,220.0
Ŷ,374.0,221.0
ÿ,255.0,222.0
Ź,377.0,223.0
Ż,379.0,224.0
Ž,381.0,225.0
ƀ,384.0,226.0
Ɓ,385.0,227.0
Ƃ,386.0,228.0
Ƅ,388.0,229.0
Ɔ,390.0,230.0
Ƈ,391.0,231.0
Ɖ,393.0,232.0
Ɗ,394.0,233.0
Ƌ,395.0,234.0
ƍ,397.0,235.0
Ǝ,398.0,236.0
Ə,399.0,237.0
Ɛ,400.0,238.0
Ƒ,401.0,239.0
Ɠ,403.0,240.0
Ɣ,404.0,241.0
Ɩ,406.0,242.0
Ɨ,407.0,243.0
Ƙ,408.0,244.0
ƚ,410.0,245.0
ƛ,411.0,246.0
Ɯ,412.0,247.0
Ɲ,413.0,248.0
ƞ,414.0,249.0
Ɵ,415.0,250.0
Ơ,416.0,251.0
Ƣ,418.0,252.0
Ƥ,420.0,253.0
Ʀ,422.0,254.0
Ƨ,423.0,255.0
Ʃ,425.0,256.0
ƪ,426.0,257.0
ƫ,427.0,258.0
Ƭ,428.0,259.0
Ʈ,430.0,260.0
Ư,431.0,261.0
Ʊ,433.0,262.0
Ʋ,434.0,263.0
Ƴ,435.0,264.0
Ƶ,437.0,265.0
Ʒ,439.0,266.0
Ƹ,440.0,267.0
ƺ,442.0,268.0
ƻ,443.0,269.0
Ƽ,444.0,270.0
ƾ,446.0,271.0
ǀ,448.0,272.0
ǁ,449.0,273.0
ǂ,450.0,274.0
ǃ,451.0,275.0
Ǎ,461.0,279.0
Ǐ,463.0,280.0
Ǒ,465.0,281.0
Ǔ,467.0,282.0
Ǖ,469.0,283.0
Ǘ,471.0,284.0
Ǚ,473.0,285.0
Ǜ,475.0,286.0
Ǟ,478.0,287.0
Ǡ,480.0,288.0
Ǣ,482.0,289.0
Ǥ,484.0,290.0
Ǧ,486.0,291.0
Ǩ,488.0,292.0
Ǫ,490.0,293.0
Ǭ,492.0,294.0
Ǯ,494.0,295.0
ǰ,496.0,296.0
Ǵ,500.0,298.0
ƕ,405.0,299.0
ƿ,447.0,300.0
Ǹ,504.0,301.0
Ǻ,506.0,302.0
Ǽ,508.0,303.0
Ǿ,510.0,304.0
Ȁ,512.0,305.0
Ȃ,514.0,306.0
Ȅ,516.0,307.0
Ȇ,518.0,308.0
Ȉ,520.0,309.0
Ȋ,522.0,310.0
Ȍ,524.0,311.0
Ȏ,526.0,312.0
Ȑ,528.0,313.0
Ȓ,530.0,314.0
Ȕ,532.0,315.0
Ȗ,534.0,316.0
Ș,536.0,317.0
Ț,538.0,318.0
Ȝ,540.0,319.0
Ȟ,542.0,320.0
ȡ,545.0,321.0
Ȣ,546.0,322.0
Ȥ,548.0,323.0
Ȧ,550.0,324.0
